description,points,price,state,region,variety
"There is tons of lively action packed into the nose of this wine, from rosebuds and zesty cherry cola to cinnamon spice and rainbow peppercorns. The texture is relatively light on the sip, and yet grippy tannins and a bursting acidity swim across the palate, showing vibrant iron and red-fruit flavors.",90,25,California,Santa Lucia Highlands,Grenache
"Estate grown and aged in Stainless steel, this racy and pungent wine is packed with rich, juicy fruit flavors. Apple, lemon-lime and tangerine are in the mix, showing that Chardonnay does not always need oak flavors to have real power.",90,26,Oregon,Applegate Valley,Chardonnay
"Clean, sharp and zesty fruit blossom aromas meet with ripe pomelo and green apple scents on the nose of this wine by Steve Dooley. A fresh, tingling acidity shows on the sip, which is a tad sour with stone fruit skins but bountiful in a slate-driven minerality and grippy texture. Cool climate Albariño has much promise in the state.",90,24,California,Edna Valley,Albariño
"This most intriguing white grape, which the Larners grow as an ode to their Italian past, shows a sweet nose with a bone dry palate. Sugary citrus scents of orange blossoms and peach syrup give way to a brisk palate full of honeysuckle, night jasmine and a nearly pine needle bitterness that cuts dynamically through it all.",90,28,California,Ballard Canyon,Malvasia Bianca
"The hue is an elegant peach just starting to blush with pink. The wine is entirely dry, with low alcohol framing intricate flavors of peaches, limes and vanilla, brightened by crisp acidity.",91,20,California,Napa Valley,Pinot Noir
"A pretty salmon-pink in color, and a lovable quaffer, this wine is dry, crisp and brightly refreshing in succulent waves of grapefruit and tangerine, remarkably light in alcohol but not shy in flavor. Enjoy it on its own or with a range of foods—its lightness begets versatility.",91,22,California,Knights Valley,Syrah
"One of the few in California to use this grape, winemaker Ryan Pease makes a great case for more in this bottling, which shows broad lemon curd, soft apple flesh and Anjou pear on the nose. There is ripe stone fruit on the tangy palate, but it's bone dry and grippy with chalky texture.",90,27,California,Paso Robles Willow Creek District,Ugni Blanc
"Much like its companion from the Revelation & Sorek Bloc, this offers well-endowed flavors of melon and white peach, along with a touch of citrus. There is a sense of higher acidity, along with lower listed alcohol, rather counter-intuitive as this is the reserve. Pick either one and you'll be pleased.",90,29,Oregon,Umpqua Valley,Grüner Veltliner
This new sister label from Elk Cove offers 100% Willamette Valley Pinot Noir at an everyday price. Fresh cranberry and raspberry fruit is framed by herb-tinged tannins. The immaculate craftsmanship and clean direct flavors are light years beyond budget Pinot Noir from most other regions. This is your perfect salmon wine.,90,19,Oregon,Willamette Valley,Pinot Noir
"An ambitious, concentrated, but not oaky wine, this has a very dark color, aromas of black cherries, and ripe but dry flavors of blackberries and dark chocolate. It is medium to full bodied, framed by lots of fine-grained tannins and finishing with more dark fruit. It's a good wine to lay down and drink after 2019.",90,15,California,North Coast,Cabernet Sauvignon
"Made at an attractive price point, this wine delivers value and plenty of flavor, from blackberry jam to oak and black pepper. It's sturdy and structured, ready for the table or larger gathering.",90,24,California,Napa Valley,Merlot
"Grippy leather and tobacco provide a gravelly texture and burly nature to this medium-bodied wine, which finds its groove in the glass. Concentrated and dense, it offers smoother elements of black currant, cassis and leather on the finish.",90,28,California,Dry Creek Valley,Cabernet Sauvignon
"The nose on this creative blend of 52% Gewürztraminer, 25% Sauvignon Blanc and 23% Chenin Blanc is quite showy with peach, baked orange, apple blossom and honeysuckle notes. But the real star is the palate that is racy with sizzling energy and flavors of cut grass, lemongrass and sour-apple peels.",90,20,California,Santa Ynez Valley,White Blend
"A minuscule amount of this wine was made, all of it fermented entirely in stainless steel. The result is lively in mouthcoating acidity and refreshing swirls of light-bodied mandarin orange and lime.",90,28,California,Russian River Valley,Sauvignon Blanc
"Tropical guava and mango surround a restrained cradling of French oak, only 15% of it new, in this easy-to-like, approachable wine. Wrappings of vanilla and honeysuckle complete the picture, with a straightforward, relatively lengthy finish.",90,22,California,Sonoma Coast,Chardonnay
"This flavorful and beautifully contoured wine is simply delicious. It has a lightly spicy aroma, plenty of fresh red-cherry and plum flavors, moderate acidity and tannins, and medium body.",90,22,California,Lodi,Tempranillo
"This is a classic version of the varietal, matching complex herb and cherry aromas with fresh, frank fruit flavors that also show hints of mint, clove and anise. It is all about vibrancy and balance, not full body, and has a welcome, appetizing personality.",90,24,California,Sierra Foothills,Cabernet Franc
"An interesting vein of tasty herb flavor runs through this full-bodied, plump and fruity wine. The aroma has hints of dill and sage, and these mingle with black cherry and blueberry on the palate. A sleek texture and long finish complete the picture.",90,20,California,Amador County,Zinfandel
"Quite a steal of a deal for a widely available wine, this shows cinnamon, red cherry, ripe cranberry, light tobacco and a touch of leather on the rustic nose. Once sipped, the mouthfeel is soft, offering flavors of cranberry and red cherry that are spiced by thyme, bay leaf and more cinnamon.",90,23,California,Central Coast,Pinot Noir
"This is a sophisticated blend of tart yellow fruits with hints of cucumber, salad greens and lemon oil. Though 80% stainless steel fermented, the rest spent time in new oak. The mineral rich acids provide extra grip.",90,18,Oregon,Willamette Valley,Pinot Gris
"This full-bodied wine combines deep, ripe fruit flavors, light spicy accents and a very firm mouthfeel that begs for a bite of a grilled rosemary lamb chop. The wine pushes the stereotype of wimpy Merlot out of the way and does it with fruit concentration rather than obvious oak. Drink through 2020.",90,22,California,Sierra Foothills,Merlot
"An ambitious, concentrated, but not oaky wine, this has a very dark color, aromas of black cherries, and ripe but dry flavors of blackberries and dark chocolate. It is medium to full bodied, framed by lots of fine-grained tannins and finishing with more dark fruit. It's a good wine to lay down and drink after 2019.",90,15,California,North Coast,Cabernet Sauvignon
"This estate-grown, organic Chardonnay is a terrific value, detailed and brightly fruity, with precise angles and spicy details. The apple/pear/pineapple fruit flavors are crisply defined, perfectly ripe, and beautifully balanced.",91,20,Oregon,Dundee Hills,Chardonnay
"From the estate vineyard, this is thick with spicy flavors of fresh-cut pear. There's a hint of butter and a slightly minty aspect. All in all it's complex, rich and inviting, with penetrating acidity.",91,26,Oregon,Chehalem Mountains,Pinot Gris
"This Chardonnay is rich in all the bells and whistles, such as aging on the lees in French oak barrels. The underlying fruit shows ripe, racy tropical flavors, as well as peach and pear notes that are deep and delicious. With production of 8,400 cases, the wine should be easy to find.",91,28,California,Russian River Valley,Chardonnay
"Stainless-steel fermented, this wine remains pungently aromatic in woody, earthy tones, with accents of fragrant orange blossom and pear, while staying crisp and light on the palate. Honey and lemon combine on the complex finish.",90,18,California,Russian River Valley,Gewürztraminer
"Though 28 g/L of residual sugar is indicated, this lushly fruity and thoroughly delicious wine does not seem at all sweet, and just barely off dry. Peaches and pears combine in a lightly spicy but intensely flavorful wine with a myriad of food pairing possibilities, notably Thai noodle dishes, or poultry with a fruit sauce.",90,18,Oregon,Willamette Valley,Gewürztraminer
"This 100% Dijon-clone bottling offers a bold mix of peach, banana and pineapple. It's fruit-driven from top to bottom, with supporting acids to keep it fresh and invigorating.",90,24,Oregon,Willamette Valley,Chardonnay
"Ripe bramble and smoked nuts cast a savory edge to concentrated blackberry and cherry flavors in this robust wine. It's velvety and rich, but crisp, cranberry acidity and a granite edge lend elegance. Drink now through 2022.",90,25,New York,Finger Lakes,Cabernet Franc
"Rich, ripe streaks of black cherry preserve are balanced by savory nuances of dried herb, toast and bramble in this luscious Pinot Noir. Aptly “lusty” in style, it's deeply concentrated with an unabashed fruit-forwardness, but crisp cranberry acidity and a penetrating earthiness gives it marked composure.",90,27,New York,Finger Lakes,Pinot Noir
"Hailing from Olsen and Elephant Mountain vineyards, this wine brings black currant, huckleberry and dark plum aromas that smell pure and sweet. The black fruit and smoke flavors display a mixture of concentration and restraint.",90,28,Washington,Yakima Valley,Syrah
"Tangy and intensely vibrant in citrus, this site-specific white sings in grapefruit pith and zest, layering those flavors atop spicy ginger and herb. It finishes bright and fresh on the palate, eager for food.",90,25,California,Alexander Valley,Sauvignon Blanc
"Chocolaty aromas and ample spicy, dark-fruit flavors power this generous and firm-textured wine. Everything seems in place and in balance, ready to take on a nice roast or braise.",90,15,California,Dunnigan Hills,Tempranillo
"This is a sophisticated blend of tart yellow fruits with hints of cucumber, salad greens and lemon oil. Though 80% stainless steel fermented, the rest spent time in new oak. The mineral rich acids provide extra grip.",90,18,Oregon,Willamette Valley,Pinot Gris
"From 100% estate-grown grapes, and possessing 6.8 g/L of residual sugar, this wine is lovely in peach, pear and lemon, and quite voluptuous in texture, with a hint of spice. Pretty floral aromas of jasmine provide additional flourish and invitation, with the finish dry.",90,25,California,Oak Knoll District,Riesling
"Opulent blackberry aromas and a mouthful of jammy, grapey but dry fruit flavors put a lot of oomph into this focused, concentrated and well-balanced wine. It is just tart and tannic enough to pair easily with rich food, and those same qualities should help it mellow with age through 2020.",90,28,California,Mendocino County,Negroamaro
"This full-bodied and densely textured wine has a deep color, aromas like wood smoke and blackberries, and flavors that saturate the palate with berries, clove and dark chocolate notes. It's bold in body, has plenty of tannins for grip, and a lingering, rich finish.",90,22,California,Amador County,Mourvèdre
"A winning combination of seductive, spicy aromas and generous, well-developed fruit flavors make this wine hard to resist. It is full-bodied, dry and quite full-flavored, but without overdoing anything, so it's well balanced.",90,26,California,Sierra Foothills,Barbera
"Generous fruit and spice flavors and a full, chewy mouthfeel make this an appetizing wine to pair with big food. It smells like black cherries, tastes ripe and berry-like and has accents of cinnamon and cardamom. The texture is supportive and lightly astringent, with fine tannins.",90,28,California,Amador County,Tempranillo
"While relatively full-bodied and tannic, this wine also has friendly, fresh berry and cherry flavors that are held in place by very firm acidity and tannins. It feels and tastes generous but also strong and taut, so it should improve with a little time. Best to drink now through 2020.",90,22,California,Sierra Foothills,Syrah
"Dried cherry and strawberry notes are marked by a hint of anise on the nose of this lush, velvety Pinot Noir. While delicate in frame, ripe berry and cherry flavors build in concentration on the palate, accentuated by a spray of pomegranate acidity and lingering bramble notes.",90,27,New York,Finger Lakes,Pinot Noir
"Chocolaty aromas and ample spicy, dark-fruit flavors power this generous and firm-textured wine. Everything seems in place and in balance, ready to take on a nice roast or braise.",90,15,California,Dunnigan Hills,Tempranillo
"Buttered sourdough toast and a slight nuttiness kick off another excellent Chardonnay from the ever-reliable Talley. The palate is greeted with minerality that fades into an apple butter flavor alongside a pinch of cinnamon, culminating in a graceful vanilla finish.",92,27,California,Arroyo Grande Valley,Chardonnay
"A stellar wine at Kiona for decades, this includes 11% Gewürztraminer in the blend, and is finished at 83 g/L residual sugar. The palate impression is more juicy than sweet, with rich fruit flavors of ripe grapefruit, peach and apricot. The balance, acidity, length and texture are spot on.",92,15,Washington,Columbia Valley (WA),Riesling
"An aromatically vibrant wine with notes of slate, peach, apricot and citrus. It drinks off dry, with exquisitely balanced acidity and a lot of depth and richness to the fruit flavors. Impressive stuff.",92,21,Washington,Columbia Gorge (WA),Riesling
"This is the first vintage for this blend of 75% Cabernet Sauvignon and 25% Sangiovese. Ripe, lush and complex, it offers flavors of plum and cassis, with an appealing texture and moderately gripping tannins. There's life and snap to the finish, and though it's already delicious just two years after the vintage, another year or two of bottle age should see it continue to improve.",92,28,Washington,Columbia Valley (WA),Cabernet Sauvignon
"This feral and gamy wine shows roast lamb, rosemary, dried fennel, rose petal and forest floor aromas on its dynamic nose. The palate leads with explosive acidity, before waves of Concord grape and blackberry flavor take hold. It's light on its feet but has some textural firmness, finishing on rosemary, lavender and game notes.",93,28,California,San Luis Obispo,Syrah
"Clean, crisp and bright, this was fermented in stainless (with just 10% in neutral wood), and not put through malolactic. The blend is 60/40 Chardonnay/Pinot Noir, yielding fresh fruit flavors of apple and melon that are focused and precise. A streak of ginger runs through racy acidity.",90,28,Oregon,Willamette Valley,Sparkling Blend
"This light-bodied wine has aromas of grapefruit and prosciutto, flavors of melon and toasted almond, making it one of the most interesting and complex versions around. Its balance is good, its texture crisp and its finish lingering.",90,26,California,Lake County,Sauvignon Blanc
"This is a serious and satisfying dry wine with bold flavors, great structure and a mouth-filling texture. It is very well balanced in terms of fruit character and displays moderate tannins, good acidity and no excesses. It's easy to imagine on the table with a grilled rib eye.",90,20,California,Mendocino County,Cabernet Sauvignon
"Winemakers Mikey Giugni and Michael Brughelli are the first to admit that this is an odd style of wine, but people are digging the pét-nat style. Aromas of sour apple, grass and passion fruit arise while the palate's very tight, bubbles unleash exotic tropical fruits like green papaya and green banana.",90,28,California,Central Coast,Chardonnay
"Quince, lemon peel and honeydew make for compatible bedfellows in this no-oak white, which is light and inviting on the palate, with more underlying herbal flourishes than it first lets on. Dry and daring, it'll pair well with all manner of fresh seafood.",90,25,California,Alexander Valley,Sauvignon Blanc
"Dense and textural, this immediately displays a strong minerality, in its mouthfeel and racy freshness. It further amplifies the tart, tight fruit flavors of apple and citrus, grapefruit and pineapple.",90,19,Oregon,Willamette Valley,Pinot Gris
"Orange blossoms, night jasmine, ripe Pink Lady apples and a touch of bubblegum pop on the nose of this bottling from a coastal canyon vineyard behind Cambria. The palate shows a fine-tuned and textural grip, offering similar floral flavors as well as a botanical streak that shows a touch of pine needle and goes deep into the finish.",90,25,California,San Luis Obispo County,Gewürztraminer
"This bright and fruity Beaujolais-style wine is as light and refreshing as a young wine can possibly be. It delivers a smile-inducing burst of strawberry and cherry fruit—round, ripe and juicy. You absolutely want to drink this sometime in 2016 while all that youthful energy remains.",90,22,Oregon,Willamette Valley,Pinot Noir
"Medium bodied and restrained on the palate, this wine offers a mix of caramelized lemon and Gravenstein apple. It ends lengthy with tastes of ginger and lemongrass that leave a refreshing finish.",90,24,California,Carneros,Chardonnay
"From vineyards in both Alexander Valley and Bennett Valley, the grapes were fermented in French oak for eight months, a minority of it new. This is a medium-bodied, integrated wine rich in caramel apple and fresh-squeezed tangerine. Brisk and in balance, it finishes with a note of toasted almond.",90,26,California,Sonoma County,Chardonnay
"This wine has hints of cedar and coriander, a luxurious, velvety and appropriately tannic texture, and flavors that are ripe and delicious. Its personality seems confident, well balanced and well behaved, but strong and focused.",90,24,California,Sierra Foothills,Malbec
"The first of the vintage to be tasted from the region, this bottling is a promising sign. Fresh-cut green apples, Anjou pear skins, honeydew, bubblegum, wet stone and whiffs of cut grass show on the nose. There's lots of verve to the palate, with white pepper, apple skin and slight jalapeño flavors. It's perfect for shellfish and salads.",90,16,California,Paso Robles,Sauvignon Blanc
"Intensely tropical aromas extend into the palate of this exuberantly ripe, fruity off-dry Riesling. Hibiscus-nectar sweetness intensifies luscious white peach and melon flavors, but is offset squarely by a dazzling streak of lemony acidity. It's juicy and satisfying through a long finish.",90,20,New York,Finger Lakes,Riesling
Abundant dried and fresh herb aromas are followed by notes of black currant and blackberry. The palate brings full-feeling black-fruit flavors that provide instant appeal. It's a crowd pleaser.,90,15,Washington,Columbia Valley (WA),Cabernet Sauvignon
"This blend of 71% Syrah, 16% Grenache, 8% Zinfandel, 3% Petite Sirah and 2% Mourvèdre stands up to Paso blends three times its price. Broad aromas of plum, olallieberry and dried cherry mix with vanilla, dill and herbes de Provence on the nose. The creamy palate conveys boysenberry and blackberry seasoned by lavender and white pepper.",90,20,California,Central Coast,Red Blend
"Lusciously ripe mango and lychee aromas introduce this unusually sprightly Gewürztraminer. Perfumed and delicately sweet, but not at all cloying, it's vivacious and thirst quenching, finishing on a enticingly astringent tea-leaf note. Drink now through 2018.",90,18,New York,Seneca Lake,Gewürztraminer
"This lovely wine captures the floral, perfumed essence of the grape in a restrained, sippable style. It's dry and crisp, with lemony fruit and the delicate sensation that you are drinking fresh flowers.",90,15,Oregon,Willamette Valley,Gewürztraminer
"Although this wine is listed as a white blend, the producer says the variety is Vernaccia, not found often in California. Light in alcohol and approach, it opens in a bouquet of waxy apple and Meyer lemon, followed by a medium-powered palate of pear. The finish is crisp and lean.",90,26,California,Carneros,White Blend
"All Pinot Noir, fermented in neutral oak and put through partial malolactic, this belongs in the rosé category. A pretty, pale-copper color, it offers a pleasing toasted-cracker frame around stone fruit and supple acids. Drink this chilled to white wine temperature.",90,20,Oregon,Willamette Valley,Pinot Noir
"Intensely aromatic in spicy black cherry and earthy leather, the Devious Primitivo is more structured than some of Macchia's Zinfandels, more savory than sweet, with tannic grip. Smooth and velvety, it'll impress alongside salumi and other charcuterie.",91,24,California,Lodi,Primitivo
"This compelling blend of Viognier, Marsanne and Roussanne—aged for three months in 20% new French oak—brings notes of barrel spices, apricot and pear. There's a touch of sweetness to the full -bodied, textured fruit flavors that provides a perfect counterbalance to the sharply defined, lingering finish.",91,28,Oregon,Applegate Valley,Rhône-style White Blend
"Bone dry, this succulent, citrus-soaked Riesling is a textural marvel. Mixing grapefruit, lime and pear fruit flavors, its racy acidity underscores its complexity.",91,19,Oregon,Willamette Valley,Riesling
"Tar and beef char kick off the nose on this dark and heavy wine, which offers asphalt, smoked meats and crushed elderberry. Caramelized beef, balsamic-blackberry reduction, tobacco and touches of smoke show on the palate.",90,28,California,Santa Barbara County,Syrah
"This is a creamy, thick and food friendly white with highlights of honey and green apple and a lingering decadence of ginger, just hinting at anise. Medium-bodied, it represents the vintage and the appellation well, at a price that's nice.",90,28,California,Russian River Valley,Chardonnay
"Spicy and lightly peppery, this fresh rosé brings concentrated strawberry fruit into focus. Made from organically grown grapes, it expands into a full-bodied finish with a lick of milk chocolate.",90,16,Oregon,Rogue Valley,Grenache
"This well-made wine blends in a hearty 17% Petite Sirah, providing additional power and dusty berry flavor. Sultry and velvety on the palate, it's spicy and peppery in subtle measure, with a juicy cheeriness on the lengthy finish.",90,24,California,Napa Valley,Zinfandel
"Brilliant, pure fruit flavors light up this full-bodied but easy-to-drink wine. Cherry, strawberry and something deeper like black currant dance through the aromas and coat the tongue with their richness. The texture is smooth and plush due to fine tannins and mild acidity.",90,24,California,Mendocino Ridge,Zinfandel
"The aromas of herbs, pencil lead and blue and red fruit are forward, fresh and appealing. The flavors follow similarly, showing depth and balance uncommon for a wine this price.",90,12,Washington,Columbia Valley (WA),Merlot
"This wine is a big one, going all out to make friends. New-oak aromas like clove, cedar and cinnamon explode out of the glass, then flavors of dark chocolate and cherry spread across the palate for a generous—almost thick—impression. Fine layers of tannins and firm acidity blanket the texture.",90,16,California,Lodi,Syrah
"Clean, crisp and bright, this was fermented in stainless (with just 10% in neutral wood), and not put through malolactic. The blend is 60/40 Chardonnay/Pinot Noir, yielding fresh fruit flavors of apple and melon that are focused and precise. A streak of ginger runs through racy acidity.",90,28,Oregon,Willamette Valley,Sparkling Blend
"This falls sbetween a rosé and an orange wine in its appearance, a pale salmon/copper shade that results from 36 hours of skin contact before pressing. Scents of hibiscus tea and rosewater put a delicate top note ahead of rich, ripe, round and spicy citrus fruit. A strong impression of cinnamon marks the finish.",90,28,Oregon,Willamette Valley,Pinot Gris
"While barrel-influenced and full-bodied, this unctuous wine remains crisp in edgy acidity, with lean flavors of lemon and grapefruit amidst a deeper, richer background of oak and caramel.",90,28,California,Napa Valley,Sauvignon Blanc
"This is the reserve-level Pinot Gris, comprised of lots from five different vineyards. Juicy, succulent and quite tart fruit flavors emphasize fresh apples and pears, lightly dusted with cinnamon spice. The concentration and lingering finish prove it worthy of its reserve status.",92,28,Oregon,Willamette Valley,Pinot Gris
"The grape's stereotypical green nose gets a whole new interpretation, with aromas of sunburned hay, bags of desiccated grass and wild oregano. The herbaceous characters carry the palate, but it's smooth with thyme and chile verde flavors, and a lingering bit of citrus tartness and tannic grip.",92,20,California,Arroyo Seco,Sauvignon Blanc
"Bold and effusive in flavor, this full-bodied red gives ripe, concentrated, focused fruit flavors that recall boysenberry and blackberry. Tannins create that grippy, dry sensation that tames big slabs of meat. An attractive take on a traditional Spanish grape variety; drink now.",91,26,California,Calaveras County,Tempranillo
"A sharp brine character gets warmer boosts from underlying pear, nectarine and buttered sourdough aromas. Flavors are light and bright at first, with sandy clay, vanilla cookie and custard strudel emerging on the midpalate and a line of acidity down through the finish.",91,24,California,Edna Valley,Chardonnay
"Distinct and delicious aromas of crème brûlée with a strawberry glaze pick up some licorice and dark spice when digging deeper. The cranberry fruit's tartness, tannins, and acidity make for a mouth-rinsing wine. Serve with hearty pasta or rich meats.",91,29,California,Paso Robles,Sangiovese
"A solid wine for the price, this begins with honeydew and lime aromas. Flavors start with a spicy cinnamon apple before diving into buttered squash, melon and fresh lime, with a dash of salt.",91,15,California,Paso Robles,Chardonnay
"Dryness, acidity and minerality mark this Chardonnay. It's elegant, with Meyer lemon, lime and new French oak flavors that bring a rich note of buttered toast. The score is lifted by the wine's balance. Drink now–2018.",90,28,California,Santa Lucia Highlands,Chardonnay
"Brilliant, pure fruit flavors light up this full-bodied but easy-to-drink wine. Cherry, strawberry and something deeper like black currant dance through the aromas and coat the tongue with their richness. The texture is smooth and plush due to fine tannins and mild acidity.",90,24,California,Mendocino Ridge,Zinfandel
"Light herb aromas and vivid apple flavors make this medium-bodied wine delicious, while the tangy, nervy texture keeps the mouth tingling. It has great balance, concentration and length on the finish.",90,18,California,El Dorado,Sauvignon Blanc
"When a rosé pushes past 14% alcohol, that's an indication of a pretty potent wine. Here's a fine example, showcasing ripe strawberry and peach fruit, with excellent concentration and mouth-filling flavors. Using all free-run juice, this is fresh and full-bodied.",90,18,Oregon,Willamette Valley,Pinot Noir
"Fronds of leafy herb and violet perfume align in this vibrantly composed Cabernet Franc. It's equal parts earthy and fruity, showcasing ripe black cherry and plum flavors etched by savory shades of mineral and soil. Fine, penetrating tannins squarely frame the finish of this red.",90,21,New York,Finger Lakes,Cabernet Franc
"Berry, herb and baking spice aromas lead the nose. The palate brings fleshy plum, cherry and coffee flavors that linger on the finish. This wine provides great easy-drinking appeal.",90,28,Washington,Columbia Valley (WA),Syrah
"This is the reserve-level Pinot Gris, comprised of lots from five different vineyards. Juicy, succulent and quite tart fruit flavors emphasize fresh apples and pears, lightly dusted with cinnamon spice. The concentration and lingering finish prove it worthy of its reserve status.",92,28,Oregon,Willamette Valley,Pinot Gris
"This is one of the vintage's knockout rosés, thanks in part to the Grenache and Gamay grapes that make up the blend. It's pale pink in color, with supple lime pith, strawberry, chalk and melon aromas. The palate is tense with structure, its bubblegum and lemon peel flavors riding a wave of acidity that persists long into the finish.",92,25,California,Monterey County,Rosé
"Estate-grown Viognier makes up the majority of this blend, followed by 25% Roussanne and 22% Marsanne. Delicate, the aromas lean floral and tart, a combination of peaches and honey that build into an oaky, powerful finish.",90,25,California,Dry Creek Valley,Rhône-style White Blend
"Full bodied, buttery and spicy in aroma and oaky in flavor, this wine has a big, bold personality from the first whiff through the lingering finish. Complexity and body are its strong suits rather than fruitiness.",90,20,California,El Dorado,Viognier
"This low-alcohol rosé spent five months in neutral oak, yielding additional complexity and an appealing creaminess to the finish. Strawberry and cherry flavors are accompanied by lighter hints of peaches and sweet spices. It's a thoroughly modern, delicious rosé.",90,19,Oregon,Willamette Valley,Pinot Noir
"This bright and spicy wine refreshes with palate-cleansing minerality. The crisp, fresh-cut pear and apple fruit carries hints of orange liqueur. Drink this while it's in the bloom of youth.",90,16,Oregon,Willamette Valley,Pinot Gris
"With rich melon aromas, ripe apple flavors and a soothing, almost soft texture, this wants some rich, sophisticated cooking to go with it, like sautéed fish with a classic French sauce. Subtle acidity keeps the notes of almond and apple lingering on the finish.",91,14,California,Lake County,Sauvignon Blanc
"From vines now a dozen years old, this unusual Walla Walla AVA Sauvignon Blanc is a brilliant straw color—aromatic with light scents of ripe grain and tangy fruits, and fills the mouth with delicious flavors of melon, white peach, lemon verbena and a dash of pepper. Complex and engaging, it finishes dry but leaves an impression of slight sweetness. Drink it slightly chilled.",91,26,Washington,Walla Walla Valley (WA),Sauvignon Blanc
"This has a brighter yellow color than most of its peers, more body, riper fruit flavors and—unusual for this variety in America—probably some oak influence. Rather full bodied, but well-balanced and very smooth, it combines peach and pear flavors with a hefty mouthfeel.",91,25,California,Anderson Valley,Pinot Gris
"Grapefruit rind jumps out of the glass in this vivid, balanced and refreshing white that also carries a complex mix of lime, more grapefruit and the tiniest suggestion of fresh-cut grass. A creaminess to the texture rounds things out and soothes the edges.",91,23,California,Russian River Valley,Sauvignon Blanc
"Richness (of both flavor and texture) marks this deeply colored, full-bodied Syrah. Aromas of ripe blackberry and licorice coupled with flavors of clove and blackberry jam make it luscious yet not overly big. It has the firm tannins and good balance for aging through 2019.",91,16,California,Lodi,Syrah
"It's listed on the back label as off dry, and in fact has 11 g/L of residual sugar, but it boasts a certain roundness and fruit persistence. Though labeled Columbia Valley, in fact it's 100% estate (Red Mountain) fruit, and old vine—30+ years—to boot. It's well-crafted, with a mix of citrus—flesh and rind—plenty of backing acidity and a thoroughly refreshing finish.",91,15,Washington,Columbia Valley (WA),Chenin Blanc
"A vibrantly aromatic, dazzling wine with abundant notes of lychee and rose petal. It's on the lighter side of medium bodied and drinks dry with a lot of hang time on the pronounced, floral finish.",91,22,Washington,Columbia Gorge (WA),Gewürztraminer
"A blend of 60% Syrah, 27% Merlot and a handful of other varieties added to the mix, this aromatically pops, with complex notes of plum, blueberry, smoke, chocolate and floral accents. It's silky smooth in feel, with abundant chocolaty flavors that help it go down far too easy.",91,15,Washington,Horse Heaven Hills,Red Blend
"This Merlot is dry, full-bodied and delicious in fruit and oak. Black cherries, currants, mocha, plums, vanilla and fragrant sandalwood all come together to provide a complex drink that's firm in tannins and fancy in the finish. Drink now.",90,28,California,Sonoma County,Merlot
"This is an amazingly tasty and focused wine that has the most distinctive black pepper character. It's medium-bodied, dark and smoky looking and quite flavorful, backing up the pepper with lively raspberry notes and staying lively from the first sip to the last.",90,29,California,Mendocino Ridge,Syrah
"Leather, cedar and tobacco figure most prominently here with an additional 12% Cabernet Sauvignon in the blend helping matters. The juicy core of blackberry and currant brushes against a rustic, burliness of tannin that finds balance and restraint on the finish.",90,24,California,Napa Valley,Petit Verdot
